441-450,University of Naples - Federico II
441-450,University of Bordeaux
441-450,University of Tampere
441-450,York University
441-450,Czech Technical University in Prague
451-460,"Goldsmiths, University of London"
451-460,Indian Institute of Technology Guwahati (IITG)
451-460,Jilin University
451-460,Universidad de Santiago de Chile (USACH)
451-460,Universidade Federal do Rio Grande Do Sul
451-460,UniversitÃ¤t Bayreuth
451-460,University of Nebraska - Lincoln
451-460,University of Saskatchewan
451-460,"The University of Tennessee, Knoxville"
451-460,Aristotle University of Thessaloniki
461-470,Chang Gung University
461-470,Chung-Ang University(CAU)
461-470,City University of New York
461-470,PolitÃ©cnica de Madrid
461-470,Southeast University
461-470,University of Granada
461-470,UniversitÃ¤t Regensburg
461-470,Wake Forest University
461-470,East China University of Science and Technology
471-480,Instituto TecnolÃ³gico de Buenos Aires (ITBA)
471-480,"Kingston University, LondonKingston University, London"
471-480,Sharif University of Technology
471-480,Peter the Great Saint-Petersburg Polytechnic UniversityPeter the Great Saint-Petersburg Polytechnic University
471-480,UniversitÃ  Cattolica del Sacro Cuore
471-480,"UniversitÃ© Lille 1, Sciences et Technologies"
471-480,University of GuelphUniversity of Guelph
471-480,University of LimerickUniversity of Limerick
471-480,University of Oklahoma
471-480,Auckland University of Technology Auckland University of Technology
481-490,Khalifa University
481-490,Koc University
481-490,Qatar University
481-490,National Research Tomsk Polytechnic UniversityNational Research Tomsk Polytechnic University
481-490,Tomsk State UniversityTomsk State University
481-490,UNESP
481-490,UniversitÃ© Claude Bernard Lyon 1
481-490,University of Delhi
481-490,University of Lisbon
481-490,Arabian Gulf University
491-500,Hankuk (Korea) University of Foreign Studies
491-500,Philipps-UniversitÃ¤t Marburg
491-500,Pontificia Universidad CatÃ³lica del PerÃº
491-500,Sichuan University
491-500,TU Dortmund University
491-500,Tokyo Metropolitan University
491-500,Tulane University
491-500,Universidad de Palermo (UP)
491-500,Universidad de Zaragoza
